metric_group,log_name,metric,value,unit,value_numeric
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_559,2774825,points,2774825.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_560,2799711,points,2799711.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_561,2814406,points,2814406.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_562,2815934,points,2815934.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_563,2816086,points,2816086.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_564,2816087,points,2816087.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_565,2816087,points,2816087.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_566,2816087,points,2816087.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_567,2816183,points,2816183.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_568,2816526,points,2816526.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_569,2816587,points,2816587.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_570,2816598,points,2816598.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_571,2816598,points,2816598.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_572,2816598,points,2816598.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_573,2816758,points,2816758.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_574,2816936,points,2816936.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_575,2816958,points,2816958.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_576,2817002,points,2817002.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_577,2817007,points,2817007.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_578,2817007,points,2817007.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_579,2817029,points,2817029.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_580,2817029,points,2817029.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_581,2817029,points,2817029.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_582,2817029,points,2817029.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_583,2817031,points,2817031.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_584,2817031,points,2817031.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_585,2817031,points,2817031.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_586,2817034,points,2817034.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_587,2817035,points,2817035.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_588,2817042,points,2817042.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_589,2817042,points,2817042.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_590,2817042,points,2817042.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_591,2817042,points,2817042.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_592,2817042,points,2817042.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_593,2825078,points,2825078.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_594,2854692,points,2854692.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_595,2868810,points,2868810.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_596,2876136,points,2876136.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_597,2885862,points,2885862.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_598,2889575,points,2889575.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_599,2905564,points,2905564.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_600,2926805,points,2926805.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_601,2936201,points,2936201.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_602,2940979,points,2940979.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_603,2944883,points,2944883.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_604,2947183,points,2947183.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_605,2949664,points,2949664.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_606,2951340,points,2951340.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_607,2952829,points,2952829.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_608,2955456,points,2955456.0
pointcloud,12_colmap_stereo_fusion_tmp.log,points_mentioned_609,2956388,points,2956388.0
