"FullName","SizeMB","LastWriteTime","RelevanceScore","Signals","HybridDatasetConfirmed"
"C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\01-logs\12_colmap_stereo_fusion_medium_high_nohup.log","0.104","8/25/2026 11:00:02 AM","4","PATH_COMBINED","False"
"C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\01-logs\12_colmap_stereo_fusion_tmp.log","0.104","8/25/2026 11:00:02 AM","4","PATH_COMBINED","False"
"C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\01-logs\12_colmap_stereo_fusion_clean.log","0.001","8/25/2026 11:00:02 AM","4","PATH_COMBINED","False"
"C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\01-logs\12_colmap_stereo_fusion_clean_v2.log","0.104","8/25/2026 11:00:02 AM","4","PATH_COMBINED","False"
"C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\01-logs\12_colmap_stereo_fusion_medium_nohup.log","0.103","8/25/2026 11:00:02 AM","4","PATH_COMBINED","False"
"C:\nerfstudio_work\thesis\01-paraguas-vicentelopez\01-logs\12_colmap_stereo_fusion_high_safe_nohup.log","0.104","8/25/2026 11:00:02 AM","4","PATH_COMBINED","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\splatfacto-full\export-splat-ds8.log","0.006","8/24/2026 8:45:31 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\splatfacto-full\train-splatfacto-full-ds4.log","0.017","8/24/2026 8:44:44 AM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\splatfacto-full\train-splatfacto-full.log","0.011","8/23/2026 9:41:49 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\nerf300\render-downscale2-repeat1.log","0","8/23/2026 9:33:04 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\nerf300\render-downscale2.log","0","8/23/2026 9:14:27 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\nerf300\render-safe.log","0.006","8/23/2026 8:39:51 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\nerf300\render-dataset-train-limited.log","0.006","8/23/2026 8:08:33 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\nerf300\render-dataset-train.log","0.006","8/23/2026 7:51:08 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\nerf300\training-summary.txt","0.002","8/23/2026 7:48:06 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_trainflow_debug.log","0.011","8/23/2026 2:59:28 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_setup_debug.log","0.01","8/23/2026 2:47:58 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_no_viewer.log","0.01","8/23/2026 2:39:28 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_debug.log","0.01","8/23/2026 2:29:37 PM","4","PATH_DJI;CONTENT_DJI","False"
"C:\nerfstudio_work\panteon-chacarita\panteon-asociacion-catalana\logs\dji-only\04_nerfstudio_nerf_train_sequential.log","0.01","8/23/2026 2:22:47 PM","4","PATH_DJI;CONTENT_DJI","False"
